,player,team,position,id,avg_type,pass_att,pass_att_sd,pass_comp,pass_comp_sd,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_att,rush_att_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,injury_status,injury_details,season_year
1,Lamar Jackson,BAL,QB,13593,robust,30.195,1.771707,20.305,1.193493,234.07,20.860182,1.54,0.207564,0.585,0.126021,9.535,0.348410999999999,54.73,2.564898,0.3,0.14826,0.3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Josh Allen,BUF,QB,13589,robust,32.725,0.926625,21.15,0.667170000000002,234.675,1.964445,1.635,0.0963689999999999,0.84,0.088956,7.58,0.177912,39.19,1.200906,0.665,0.200151,0.2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Brock Purdy,SFO,QB,15698,robust,29.855,2.750223,20.205,1.934793,255.735,0.392889000000001,1.985,0.126021,0.66,0.088956,2.54,0.207564,9.19,3.246894,0.165,0.051891,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Jared Goff,DET,QB,12611,robust,34.25,0.222389999999998,23,0,260.975,3.00226500000001,1.84,0.207564,0.57,0.103782,1.75,0.0741300000000001,4.065,3.061569,0.095,0.00741300000000001,0.2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Patrick Mahomes,KCC,QB,13116,robust,35.43,0.637518,23.755,0.229802999999999,255.11,0.163085999999999,1.675,0.185325,0.73,0.103782,4.52,0.118607999999999,23.185,4.173519,0.12,0.029652,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Baker Mayfield,TBB,QB,13590,robust,35.195,1.193493,22.53,0.696822000000001,259.265,8.502711,1.665,0.200151,0.71,0.311346,2.335,0.392889,7.35,2.00151,0.095,0.00741300000000001,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Jordan Love,GBP,QB,14782,robust,34.03,0.0444780000000017,22.08,0.118608,247.655,10.889697,1.67,0.340998,0.57,0.252042,2.31,0.014826,9.21,0.311346,0.145,0.081543,0.2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,C.J. Stroud,HOU,QB,16150,robust,32.555,2.157183,20.705,1.045233,249.26,1.86807600000001,1.31,0.281694,0.535,0.200151,2.39,0.163086,9.805,0.289107,0.14,0.088956,0.2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Christian McCaffrey,SFO,RB,13130,robust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.665,2.616789,77.36,6.464136,0.705,0.155673,0.1,0,0,0,0,0,4.04,0.504084,32.645,2.438877,0.31,0.014826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Isiah Pacheco,KCC,RB,15749,robust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.31,1.942206,69.565,6.768069,0.525,0.111195,0.1,0,0,0,0,0,2.37,0.103782,16.38,0.563388000000001,0.105,0.007413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Rachaad White,TBB,RB,15721,robust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.785,1.905141,63.875,5.745075,0.38,0.118608,0.2,0,0,0,0,0,3.075,0.185325,23.525,2.186835,0.16,0.059304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
